Author,Thread_Title,Content,Thread_URL
simoninfp123,Question about a ENFJ female,"There is a very outgoing female coworker who recently started working at the university (different department, same building). She is quite attractive and appears to be very self-assured, pleasant, and gives off an impression of being outspoken and easygoing around people. However, when she first began working here, we would occasionally cross paths in the corridor, yet she wouldn't acknowledge me.
So, I decided to take the initiative and introduce myself. Things went smoothly – we engaged in some small talk. However, despite this, she continued to be a bit distant and chilly whenever we passed each other in the corridor, occasionally even ignoring me. As a result, I eventually gave up and moved on.
Surprisingly, several weeks later, she came up to me while I was with a group of colleagues at a university event and remarked, 'Oh, you're here,' initiating a conversation exclusively with me. From that point on, whenever she encounters me, she seems genuinely enthusiastic to greet me. This positive shift made me to consider asking her out.
Coincidentally, we sometimes take the same train home and have started sitting across from each other during the commute. However, during these train rides, she once again appears a bit perplexed (which is contradictory to her behavior at work with colleagues). She seems nervous, fidgety, and distant when we're seated across from each other. I even have an intuitive sense that she might be feeling uncomfortable.
Yet, back within the university environment, she engages in teasing when we meet in the corridor, playfully mimicking my behavior. Often she is at the other end of the corridor, always waving at me when she sees me.
Sometimes, she even passes by my office, pauses for a moment, and greets me with a cheerful 'helloooo, [insert my name].' However, as soon as I turn around to respond, she simply smiles at me and quickly hurries away. I'm left wondering whether this pattern of behavior aligns with common traits of an ENFJ personality. I'm posing this question because I've developed an interest in her and would like to ask her out. However, her behavior on the train is somewhat confuses me.",https://www.personalitycafe.com//threads/question-about-a-enfj-female.1376223/
Kanishka21,How can an enfj female access men for genuine relationship?,"Why am i attracted to narcissists and ignore their negative sides and still feel deep love and forgiveness for them?

I had an entj, narcissistic ex, who used to manipulate me and exploited me. Now, that I get those manipulation stuff and his betrayal hurts 💔. Yet, he came to apologize after a month (although fake, he didn't even know what he was apologizing for and tried to gaslight me again and again when I put forward issues) . My mind gets his games , yet I feel deep love and forgiveness for him, after learning about narcissistic relationships, abuse and related stuff.


What can I do to improve me giving heart to wrong people. I'm 19 , quite young and wanna recongnise people better in order to avoid giving my everything to someone wrong and be hurt.",https://www.personalitycafe.com//threads/how-can-an-enfj-female-access-men-for-genuine-relationship.1377648/
radu,Why do we fall so quickly for ppl ?,"I think everyone will agree, that we as ENFJ's tend to fall in love or get emotionally attached to people very quickly. A question which has been boggling my mind lately is... WHY ?

Is it because of the seemingly neverending energy we have, which when focused on one single person makes our emotions flourish and rapidly amplifies them, thus making us quickly fall for the other person ?

Is it because we are so people focused and so in touch with them, that we can ""feel"" someone instantly and connect with them on a very deep emotional level without needing the ""proper"" time to get to know them?

Or is it because no matter how rational we try to be and block ourselves off from feeling intense emotions, deep down inside it is what makes us feel alive ? We want so much to feel something, that more often than other types, we go with our hearts even when our minds are saying no ?

For me, if I let go of my rational side, I can fall for someone in a matter of days or weeks (it's shocking I know). Most of the time I can ""control"" my emotions as not to become clingy and just be happy without wanting more. Other times, I can totally and utterly fall and my emotions take control of me. That's when I get hurt and end up feeling all the negative stuff. 

Am curious to hear other people's opinions",https://www.personalitycafe.com//threads/why-do-we-fall-so-quickly-for-ppl.124087/
OfficialGrilledCheese,How to help a very unhealthy ENFJ?,"Greeting ENFJs! I've read several threads about how awesome ENFJs are and how well you get along with INFJs. However, I can not say that this matches my experience with my ENFJ. He's clearly become a very unhealthy ENFJ I'm now sure how to help him become healthy, if anything. He's somewhat manipulative, overly critical (likes to discourage instead of encourage), and he's pretty defensive whenever he is confronted about these things. As you can assume, these actions have effected me as he used to be an amazing person. I don't know what happened to cause him to start acting this way, but if anyone has any insight as to why this could occur or what I can do to help him, it would be grateful appreciated. I read somewhere that ENFjs love verbal affirmation, so I've been trying to give him a lot lately. However, whenever I do, he doesn't accept my compliments by saying something like ""No, I'm not."" I'm thinking that he could possibly have low self esteem? It's also worth nothing that he does seem to have low/ possible underdeveloped intuition. He's certainly an ENFJ as he's tested that way and he certainly has xNFx feelings (as I'm INFJ, I'd know). He's a very strong Judger and Feeler though. Like I said previously, because of his hurtful behavior, this friend of mine is starting to become toxic and hard to be around. So if any of you have any ideas of what I can possibly do to help him, I'd greatly appreciate it.",https://www.personalitycafe.com//threads/how-to-help-a-very-unhealthy-enfj.1127754/
lastofsix,Enneagram Conundrum.... ENFJ and 8,"So, I have tested ENFJ over and over.  I have also tested equal %'s on Enneagram 8  over and over.  I was recently asked ""How does this work?  How can you be ENFJ and an 8?""  This was a fair question, and I intend on answering it, BUT....it is complicated and some of it is too intimate for me to just discuss openly.

My reluctance made me turn to co workers and friends...People who have known me for a year or more.  The over all consensus was that 8 really fits. When showed them ENFJ...they also heartily agreed.  I asked them ok..logically, this should not work.  ~I~ can see it, my co-workers can see it, but it seem that I need help explaining it to someone else. 

One very basic comparison that would like to start with is...

ENFJs are externally focused, introspective, altruistic, positive and have excellent people skills. They place utmost importance on helping others grow. They are warm and have a natural desire to be supportive and encouraging. Being charismatic and possessing excellent language skills, they do well in leadership roles. ENFJs strive to enhance the lives of their human brethren. 

EIGHTS are attracted to and appreciate power. They desire to be strong, independent, straightforward, assertive persons, who use their strength and influence to make the world a more just place to live in. They value equity, the equal distribution of power, and show a concern for the underprivileged and disenfranchised. Being your own person, doing your own thing, protecting your own is what life is all about.

I could be wrong, but I do not feel that these are mutually exclusive. I think 8 enhances and deepens some of the more primal/warrior-esque tendencies sides of ENFJ.... I understand that I ~should~ be a 2 or 9 or something more ...squishy yummy?  But I seem to be the vibrant, bouncing ball of molten lava with a smile on my face....

Are there any ENFJ's out there who have an enneagram number that seems to be contradictory? Or any other ENFJs who can see the correlation between 8 and ENFJ like I can?  


Thank you",https://www.personalitycafe.com//threads/enneagram-conundrum-enfj-and-8.30196/
gentlesaint,enfj enneagram 8 possible?,"hi,is enfj enneagram 8 possible if so,how do you enfj enneagram 8s react to confrontation.?:smug:",https://www.personalitycafe.com//threads/enfj-enneagram-8-possible.1289825/
Teal,Anime,"Anyone here watch anime? i used to a bit but i always got attatched to the charecters and got sad when it ended so i decided to slow down on it  if you have mention if you get emotional w.it or some good anime's i guess

My favorite is   Shuffle!",https://www.personalitycafe.com//threads/anime.358346/
Callie,XNFJ males and divorce,"Have you experienced this ? How did you handle this ? How long did it  take for your to come back on the dating scene (and get really involved  in a relationship) ? What helped you ?

If you are a female, you can answer as well !",https://www.personalitycafe.com//threads/xnfj-males-and-divorce.95241/
FourLittleMonkeys,"Desperate infj needs help understanding love of my life, enfj","*EDITED* Desperate INFJ Needs Help Understanding Love of My Life, ENFJ

I am an INFJ who has been in love with an ENFJ for almost twenty years. And I still don't have him.  I wonder if I've made every mistake that it's possible for an INFJ to make and I need help understanding what's going on...

We grew up together and from childhood I felt a connection with him. It was as if I understood the deepest part of him in a way that no one else did. And when he looked at me, I felt he understood me, too. 

In our teens, lightning struck. Our eyes would connect, the world would fade away, and it was just he and I in a crowded room. I've never felt that with anyone else. But I was too young to realize what it meant. We never did anything about it, moved on, grew up, and I married someone else. He dated other people but never married.

For several years, I didn't see him. And yet, I never forgot him. It was as if he were a part of me; my soulmate. I was happily married.  Content. But at night, sometimes I would dream about him. I would go months without a thought of him and then I would have a dream and I would think of him for days. Usually I dreamed that I was searching for him but I could never find him.  Or if I found him, he never saw me. I came to believe that there was a connection between us that was unexplainable and I would just have to live with it. I went on with my life and tried to bury his memory deep inside. 

Last year, my life changed; I discovered my husband was cheating. An intensely loyal INFJ, I was devestated. I mourned and grieved and started to rebuild my life. Six months ago, I saw my ENFJ again for the first time in all these years. It was like magic, all over again. We sat and talked and he opened himself up to me in a way that I am only just beginning to realize was pretty special. He's always been the life of the party, the funny guy, but I've always seen beneath that to the serious, deep, real man that he is. I was blown away.  I fell even deeper in love, but for absolutely real this time. Call it the hopeless romantic INFJ part of me, but if I've loved him this long and it's only getting deeper, I can't imagine loving anyone else. 

We began to text and email and carry on a long-distance...something.  We talked about deep stuff. Real stuff. Fun stuff. Not every day but enough that we stayed in each other's lives for the next two months on a regular basis.  Usually he initiated the online conversations; we would sometimes chat for two hours without saying anything very meaningful or important. We were just completely comfortable and natural with each other. 

After two months, I began to feel that he was pulling back.The INFJ in me quickly retreated. I became scared. And I was already so deeply in love, I didn't know what to do. To be fair, he was very busy. Typical ENFJ, he was never home on any given night but was always busy ""doing"" with his hands in about a dozen pies. But I felt like he was rejecting me. My intuition told me he was pulling back.  I wondered if it was too much, too fast.  I decided to leave him alone.

I wasn't sure what was going on and began to feel that he was blowing hot and cold because he would still occasionlly seek me out online.  But he never called me on the phone or did anything that was overtly flirty. I began to go back over his behavior toward me. I wasn't convinced he viewed me any differently than any of his other friends. He had never given me any indication that he viewed me romantically. The last time I had seen him, he continued to joke and laugh and treat me like everyone else.  And yet, there was a subtle difference when he was around me. If I caught him unawares, came upon him when he wasn't expecting me, his eyes gave him away. There was an expression in them that caught at me, made me lose my breath. Like his soul looking into mine. It killed me; hooked me. 

There were other things, too. I had noticed that when we first met again, he refused to look into my eyes at all. He would talk to me or rather ""at"" me, but wouldn't make eye contact. If he did, it was a glancing blow. It was so obvious that I had begun to wonder if maybe I was wrong and he wasn't really an extrovert, but was really shy instead. But that didn't add up. With everyone else, he was completely natural and confident. It was only with me that he was different and, when I thought about it, he had acted this way right before I married my husband years before.  And there was always, always this tension within me when he was around, as if I were hyper-aware of him.  I intuitively felt like he felt it, too, but wondered if I was imagining it.  

I also noticed that he never hugged me.  Never, ever. But he hugged everyone else in a friendly, affectionate way that seemed to be a part of his personality. Just not me.  I wasn't included. I had even started to wonder if there was something wrong with me that he didn't want to hug me.

Over the next four months, our contact became less and less.  I became desperate and yet determined not to beg. I wanted him to come to me, if he wanted me. And yet, if he wanted me even a little, I would have been willing to beg. I just wanted him. But I didn't know how to get him or if he even wanted me at all. I began to wonder if I had made a serious mistake by pulling back.  I had thought he was playing games but I began to wonder if maybe he just hadn't thought I was interested. I had guarded my heart closely because I was afraid he wouldn't want it; what if he thought I didn't want his? If I were honest, I had to admit that I had carefully treated him like a friend when everything inside of me had been dying for him. 

About a month and a half ago, I saw him again. I was still deeply certain that he didn't love me, that I was destined to live my life desperately loving him and pretending that I didn't. And so, I closed down my deepest emotions and pretended that I was perfectly calm and he was just a dear, treasured friend. There were no lingering glances, no accidental touches. But still...he sought me out. I told myself he was seeking out the entire group of friends. But he sat next to me, often.  I felt torn, emotionally chaotic, absolutely certain one moment that he felt the same way for me and then just as certain the next that he didn't. Finally, he caught me alone in a quiet moment and started to ask the deep questions, the kind that we had once shared so freely. But I couldn't share; it was awkward and painful and I was in love with him and wanted ALL of him.  And so I shared very little. 

This time, when I left, he hugged me.  It wasn't a friendly, arms-around-shoulders-hug that he gives everyone else.  It was closer, intimate; I was the one to pull away, certain still that he viewed me as a friend.  It was only later that I started to wonder... He told me specifically to keep in touch with him.  I, trying to protect my heart, told him just as specifically that he could contact me if he wanted to.  He told me that he hadn't seen me online lately and he seemed awkward, hesitant, unsure...  I didn't know what this meant.  I had felt that he didn't want to talk to me as much and so I hadn't been as available to him online but he could have called me if he had wanted to.  He had my number.  But he never had.  I wasn't sure that I bought his reason.  But the way he looked at me, it was almost as if he blamed me for our lack of communication.  I was confused and didn't know what to think.  

That night, I took a chance and texted him about how much I had enjoyed seeing him.  He immediately texted back, asking if I was home.  I said no and he texted back that we would ""talk soon"" and that he wasn't very busy over the next week.  I thought, ""Ok, I've done my part,"" and I didn't reply and just waited.  I waited for a month.  Out of the blue two weeks ago, he contacted me again, wanted to know how I was doing and told me a little bit about his ""busy"" life.  We chatted online for an hour and then I initiated the goodbye, told him I loved talking with him but had to go.  The truth is, I could have sat up all night talking to him and I don't want to be that girl!  I'm so confused by him that I don't know if he wants me or not.  My INFJ intuition says yes, but my INFJ need to protect myself says maybe not.  

Why isn't he being bolder if he truly wants me?  Is he just being nice to me because I'm a friend who's gone through a rough time?  Or is he an ENFJ who's afraid of my rejection?  I will tell you that my intuition says he's in love with me.  But my logical brain keeps making me doubt because he's never actually done anything that could be considered romantic.  

Should I take a chance?  Should I open up more and be more vulnerable with him or should I just continue to wait?


Thank you in advance for your advice.",https://www.personalitycafe.com//threads/desperate-infj-needs-help-understanding-love-of-my-life-enfj.95616/
Kayslay,Need advice: I screwed up…sorta,"Without getting into too many details, I had an ENFJ female ex who I actually met while she was in another relationship a few years ago.

This is a shitty thing to admit, but we had a short emotional affair but I recall her inviting things to get physical on one occasion while her partner was away. I awkwardly avoided it. She ended things I think when things started to get too intimate. (Not proud of this)

Fast forward a year and a half later, her partner who she was with (after she sort of branched to after her previous marriage of 10 years) and whom she proposed to (he said yes) left her months later. She said both were narcissists.

Soon after their breakup, I randomly contacted her out of the blue and she told me they had broken up. We connected for a few months before we ended up in a long distance relationship. She ended it 3 months later after significantly pulling away and I proceeded to chase after her right out of my life. Then contacted me another 3-4 months later because she missed me.

I proceeded to pursue her again 🤦🏽‍♂️, and we ended up the same place with her progressively shutting me down, bailing on plans if I didn’t act perfectly. I have bipolar disorder and it got triggered by the stress from my fears of abandonment. I said some really awful things to her and was sending her pages and pages of texts. I feel like she hasn’t really taken much accountability.

She is civil with me now. But told me that once it’s done with her it’s done. And I’ve heard many ENFJ’s say that….

I am asking for help with this…

Does that always mean they are done? If not, what would need to happen to repair things?

Could her offer of staying friends grow into more once I regain her trust?

Or am I better off going no contact?

I do really value her, but our relationship is nothing like it used to be. She says too much has happened.

Thank you!
INFP learning how to be healthier",https://www.personalitycafe.com//threads/need-advice-i-screwed-up%E2%80%A6sorta.1376571/
Nobleheart,INFJ Doorslam vs ENFJ Doorslam,"The INFJ Doorslam is a classic move in which INFJs will completely cut someone out of their lives once they've had enough.  However, they rarely bother to tell the person.  They're just done.  It's a very introverted action.

I've had an ENFJ Doorslam me once, and she made sure I knew what she was doing and why.  This makes me wonder if it is an extroverted trait to tell people what they've done wrong and how things are going to be.  

Have you ever pulled an ENFJ Doorslam, and if so, did you tell the person or were you silent about it?",https://www.personalitycafe.com//threads/infj-doorslam-vs-enfj-doorslam.37115/
HGy,Do ENFJ like to shut down Karens ?,"I've shut down ""Karens"" throwing public tantrums over the years and it was satifying for me and everyone else around. I'm not sure if this is an ENFJ thing or if other types do this?",https://www.personalitycafe.com//threads/do-enfj-like-to-shut-down-karens.1376441/
wums,ENFJ linked to HPD/NPD??,"Hey guys! Um, a week or 2 ago I was just learning about the different types, and I ended up on the celebrity types ENFJ page, which said that ENFJ as a type is linked to narcissistic/histrionic personality disorders.

I thought that was kind of weird b/c ENFJs have such strong Fe. Shouldn't they be really opposite of those disorders?

So, does anyone here have NPD/HPD? (Lol what kind of question is that though...) or, I don't know, I'm just curious to hear what people think about this and why there would be a link!

For the record, I am asking because I grew up with a BPD mother and ended up also suffering from BPD traits (which I am finally getting help for). But, it seems like most commonly BPD people are INFPs/ISFPs b/c of the Fi.",https://www.personalitycafe.com//threads/enfj-linked-to-hpd-npd.170244/
stoicismINFJ,I need help from ENFJ males,Case closed. No more opinions are required. Thanks for all your input : ),https://www.personalitycafe.com//threads/i-need-help-from-enfj-males.1353824/
AvaJollin,Enfj cheating and sidechicks,Well,https://www.personalitycafe.com//threads/enfj-cheating-and-sidechicks.1375531/
Theneptunepenguin,Does this person sound like an ENFJ,"They tested as an ENFJ and I even typed them as one as I do see Ni in them, but what happened today and in the past has made me wonder. 


1. They yelled at someone for 90 minutes straight today
2. They said that the person they were yelling at should've have been beaten growing up. 
3. They threatened to destroy the computer of said person they were yelling at as they were ignoring them while they were yelling at them. 
3b. Has actually destroyed the phone of her husband once by throwing it out the window as she suspected him of cheating (he WASN'T!!!!!!!!!!!!) 
4. They think Millennials are the worst generation and that they are ruining the world compared to how things were in the past as they claimed back then someone's word was someone's word or something.
5. They said that people coming from different places in the world are ruining where they live, and that the people that were born in the areas are the ones that are honest or something. 
6. They also threatened to not pay the internet bill (which the entire household uses) just because said person was not paying attention to them while arguing. 
7. They said that they are trying to make things peaceful as a person is on their deathbed in the household, and make things calm for their last days.
8. Yet they yell at said person on their death bed and even tells them that they are going to die if they won't eat, and said that black folks don't listen (dw they are black themselves) and that a white person would appreciate the efforts (the person on their death bed has dementia) 
9. They say to always love your parents and gave an example of how someone she knows was beaten so hard by her father that her skin turned blue and that she still loves and support her father. 
10. She is the cleanest person ever, and in a hotel the maids even said that they have never seen a person as clean as her. 

I am starting to think no of them being an ENFJ, but maybe it is possible for them to be just unhealthy I think.",https://www.personalitycafe.com//threads/does-this-person-sound-like-an-enfj.1374587/
burkeleigh,Advice on texting ENFJ male as and INFP?,"Hi hi hi,
For context I am an INFP female and I had a really incredible date with this ENFJ last week. It's funny because I really wasn't intending on even seeing him at first. We met on a dating app about 7 months ago and he always came across really sweet in messages (and he was definetly my type) but things would happen which would cause us to lose contact. In one instance he took two days to respond to me (which I later found out was because he was at an airsoft competiton?? doing outdoor ENFJ things I guess??) but it turned me off because I didn't appreciate the switch up of being completely dedicated and attentive to just suddenly disappearing. I also couldn't be sure if he was being honest, or just felt like ignoring me. I felt myself becoming insecure and those negative feelings caused me to respond less and less and then not at all.

He was very persistant, however, and eventually we did meet last week. And I left that date thinking that finally meeting him was the best choice of my life. I thought he felt the same way, as he texted me as soon as he got home and all throughout this week.

Then yesterday, his replies were very slow. I am used to him taking a bit of time inbetween replies but that day he didn't text me good morning or at all throughout the day until about 6pm. He apologized and said he hadn't seen my messages (I frequently get this kind of text from him... but it never bothered me because his apologies always seemed sincere).

He then asked me if I was busy this weekend to which I responded yes (I'm going to London tomorrow) and after a bit more small talk he asked me if there was any chance that I would be free tonight. I was immeadiatly elated and was already in the process of mentally planning what I would wear. I immeadiatly texted back saying ""i can be. did you want to hang out?""

He waited two hours to respond and then said ""I did want to hang out but Im too tired. I didnt go to the gym today either."" I was of course upset that he made me wait two hours just to say no, but I was more so sad because I actually genuinely wanted to see him (and I rarely genuinely want to go anywhere that isn't the comfort of my own home). I still forced myself to think positively though because it meant a lot to me that he even wanted to see me in the first place. I said ""Oh ok ))."" and that was that (keep in mind im leaving out the other little casual conversations we were having in between all of this, when talking to him i always try to match energy and be just as kind. he can be quite caring and complimenty and i always try to reciprocate that so he feels appreciated).

But today he hasn't texted me at all :/ no contact and its 10pm. As I mentioned, the way he replies has been something that's bothered me since we first met. I genuinely don't know what to do because I do think he is a good guy, but I just opperate under the assumption that if you like someone you talk to them throughout the day. Even if you're a bad texter, you at least send a good morning or ask how their day went? I was a bit dry with the last message I sent to him, as I was a little upset and its hard for me to hide that, but I still don't think thats any excuse?

What do you think? Is this normal? Why would he wait so long to tell me he can't see me and then just not talk to me after that? I almost want to say something about it, ask if he's ok or if he's uninterested (more so I can just stop expending mental energy towards his actions) but it's really not in my nature to do something like that and I would hate to come across as clingy or bossy. I'm not, I don't ever want to make him talk to me if he doesn't want to. I more just want to know why his texting is so unreliable. It causes me to spiral and write long essay style posts on MBTI forums .",https://www.personalitycafe.com//threads/advice-on-texting-enfj-male-as-and-infp.1374704/
